decanoic acid (mM),decanoate (mM),decylamine (mM),decyl trimethylamine (mM),decylsulfate (mM),decanol (mM),monocaprin (mM),num_vesicles
0.8500000000000001,1.5999999999999999,2.425,3.725,4.35,0.555,0.785,22
3.425,0.9050000000000001,0.19199999999999998,1.8749999999999998,2.375,0.23099999999999993,0.11299999999999992,9
2.2,1.025,2.65,4.975,4.25,0.1724999999999999,0.22499999999999998,6
3.6250000000000004,4.975,0.4649999999999999,0.07399999999999995,3.375,0.8024999999999999,0.11999999999999991,2
2.2250000000000005,3.225,4.35,1.425,1.7500000000000004,1.1175,0.34999999999999987,36
0.4449999999999999,4.000000000000001,3.3249999999999997,4.575000000000001,3.9250000000000003,0.8775,0.17199999999999993,40
4.425,4.825,3.3,1.8000000000000003,0.825,0.5399999999999999,0.8450000000000001,22
3.9000000000000004,3.9000000000000004,0.75,4.725,4.625000000000002,0.29699999999999993,0.26499999999999996,39
0.8200000000000001,0.3099999999999999,0.57,0.08499999999999992,3.6750000000000003,1.2525,0.5199999999999999,9
0.41,2.925,0.945,2.425,4.925,0.13649999999999984,0.37499999999999994,30
0.895,0.755,4.125000000000001,0.6399999999999999,2.0000000000000004,1.0575,0.7200000000000001,8
3.7,3.725,1.475,4.949999999999999,1.275,0.4649999999999999,0.9500000000000001,40
1.5999999999999999,3.95,1.625,0.22999999999999995,1.925,0.51,0.7900000000000001,26
2.8,3.6250000000000004,3.2000000000000006,2.25,3.9749999999999996,0.4575000000000001,0.555,36
0.186,4.6,2.0250000000000004,2.5749999999999997,2.875,0.6975,0.41,31
4.725,1.175,0.035,3.4000000000000004,4.475,1.4475,0.14299999999999988,35
3.95,4.875000000000002,4.6499999999999995,0.19099999999999992,3.95,1.3950000000000002,0.33,18
1.025,2.5749999999999997,3.6750000000000003,3.4000000000000004,0.04799999999999998,1.3499999999999999,0.725,0
4.6,1.8749999999999998,3.8499999999999983,0.6949999999999998,2.925,0.08099999999999996,0.10299999999999998,30
0.36999999999999994,0.10399999999999993,2.25,1.5000000000000004,2.85,1.4475,0.33,12
2.175,1.275,3.375,0.009999999999999917,3.6500000000000004,0.8625,0.4399999999999999,8
1.7500000000000004,0.585,2.275,3.7750000000000004,2.525,0.03599999999999998,0.39,14
1.175,2.925,3.7750000000000004,2.45,1.5250000000000001,0.204,0.22999999999999995,22
3.3249999999999997,3.3249999999999997,3.8499999999999983,2.0000000000000004,3.725,1.4475,0.565,36
3.075,2.275,0.21,4.625000000000002,0.22499999999999998,1.3425,0.1599999999999999,7
1.8000000000000003,4.75,1.6750000000000003,3.075,4.225000000000001,0.8625,0.74,26
2.2,4.2749999999999995,3.125000000000001,4.6499999999999995,2.975,0.6674999999999999,0.39999999999999997,26
1.175,2.55,0.6399999999999999,1.3,2.0250000000000004,0.09149999999999985,0.67,16
0.14,3.475000000000001,1.475,4.15,3.375,1.0425,0.4199999999999999,32
3.075,4.6,4.125000000000001,2.1499999999999995,2.475000000000001,1.4700000000000004,0.4649999999999999,38
2.825,3.0,3.2750000000000004,3.8499999999999983,3.8250000000000006,0.7949999999999999,0.28,30
3.3,0.8,2.175,0.19999999999999996,0.555,0.42749999999999994,0.30499999999999994,14
3.3500000000000005,1.8749999999999998,0.28,0.915,3.9749999999999996,0.5024999999999998,0.4149999999999999,18
1.5999999999999999,3.0500000000000003,4.6,3.6500000000000004,0.51,1.05,0.36499999999999994,6
4.75,0.57,2.2,0.57,4.949999999999999,0.26999999999999996,0.6800000000000002,22
2.975,1.25,2.85,2.825,4.75,0.6449999999999999,0.51,41
1.625,2.7000000000000006,1.45,0.7300000000000001,4.000000000000001,0.2504999999999999,0.36999999999999994,14
3.1500000000000004,0.22999999999999995,4.075,1.25,0.855,0.14399999999999993,0.11699999999999981,5
3.725,0.735,2.375,0.37499999999999994,4.05,0.3975,0.56,28
0.765,1.625,1.5999999999999999,4.35,3.6500000000000004,0.2745,0.6399999999999999,4
4.625000000000002,4.375,3.425,1.3999999999999997,0.8,0.9599999999999999,0.635,20
0.39499999999999996,2.075,4.1,1.5000000000000004,4.75,0.3825,0.955,42
1.8999999999999997,0.66,3.575000000000001,0.6449999999999999,1.725,0.5399999999999999,0.565,10
3.9000000000000004,4.475,1.5250000000000001,1.125,1.15,0.5775,0.585,16
1.275,0.78,4.6499999999999995,4.674999999999999,0.24,1.155,0.56,8
2.2250000000000005,4.525000000000002,4.3,2.5999999999999996,0.75,1.215,0.13399999999999998,7
2.1,1.3499999999999999,0.9949999999999999,4.4,1.625,1.32,0.9799999999999999,8
4.575000000000001,0.5399999999999999,0.5399999999999999,3.7500000000000004,1.025,0.8324999999999999,0.9300000000000002,28
