decanoic acid_Concentration (mM),decanoate_Concentration (mM),decylamine_Concentration (mM),decyl trimethylamine_Concentration (mM),decylsulfate_Concentration (mM),decanol_Concentration (mM),monocaprin_Concentration (mM),num_vesicles
2.3250000000000006,2.275,1.85,0.6449999999999999,0.048999999999999974,0.04649999999999993,0.25999999999999995,46
2.1499999999999995,1.075,2.175,0.61,0.575,0.3149999999999999,0.17699999999999994,34
2.2,0.013999999999999877,1.325,0.1449999999999999,1.6999999999999995,0.4874999999999999,0.4399999999999999,27
1.925,0.37499999999999994,0.57,2.125,0.585,0.26249999999999996,0.05799999999999986,4
1.125,1.6999999999999995,2.375,0.6149999999999999,0.9500000000000001,0.4575000000000001,0.06299999999999992,32
1.7750000000000008,0.635,0.825,1.225,0.7749999999999999,0.3825,0.19999999999999996,80
1.5000000000000004,0.11099999999999995,2.275,1.075,1.025,0.3975,0.4449999999999999,66
2.0500000000000007,0.9200000000000002,1.3,1.5000000000000004,0.26999999999999996,0.03,0.1749999999999999,12
1.425,0.185,0.655,0.565,1.5750000000000004,0.2504999999999999,0.006999999999999857,65
0.9949999999999999,0.9749999999999999,0.0019999999999999437,1.95,0.8149999999999998,0.49499999999999994,0.24,194
0.9200000000000002,0.575,0.46,1.3999999999999997,0.9850000000000001,0.07799999999999999,0.10899999999999992,58
2.5,0.5399999999999999,2.1499999999999995,0.42499999999999993,0.8050000000000002,0.2759999999999998,0.26499999999999996,10
1.3,1.5999999999999999,1.8000000000000003,1.975,0.205,0.29999999999999993,0.345,52
1.625,1.2,0.18399999999999997,0.55,1.3,0.22649999999999984,0.35999999999999993,569
0.8050000000000002,1.0,0.04099999999999986,1.0,1.3999999999999997,0.1724999999999999,0.35999999999999993,1068
1.15,1.5000000000000004,0.11799999999999998,0.32,1.95,0.405,0.42499999999999993,168
0.485,0.0969999999999999,0.705,1.175,1.45,0.25349999999999995,0.3149999999999999,100
0.036999999999999915,0.11499999999999991,1.5250000000000001,1.65,1.275,0.09149999999999985,0.022999999999999972,10
0.10099999999999988,1.7750000000000008,1.125,1.275,1.325,0.6375,0.37499999999999994,131
0.9500000000000001,0.435,2.1499999999999995,0.55,1.5000000000000004,0.3525,0.29999999999999993,2
0.0979999999999999,1.3499999999999999,1.45,1.225,1.325,0.30749999999999983,0.07999999999999997,100
2.2250000000000005,0.30499999999999994,1.5250000000000001,1.475,0.77,0.6975,0.11999999999999991,1
1.225,0.8749999999999999,0.36999999999999994,1.15,1.025,0.3825,0.29999999999999993,426
0.7749999999999999,1.1,2.0500000000000007,0.1889999999999999,1.7750000000000008,0.17399999999999988,0.018999999999999937,20
0.9200000000000002,0.58,2.25,0.6800000000000002,1.375,0.3975,0.205,6
0.19,0.2899999999999999,1.15,1.8000000000000003,1.125,0.21749999999999997,0.08299999999999993,0
1.125,0.8149999999999998,0.53,0.05299999999999995,2.4,0.041999999999999815,0.16999999999999993,171
0.1409999999999999,1.15,0.38499999999999995,2.25,0.7300000000000001,0.05999999999999992,0.132,2
0.86,2.2250000000000005,0.42999999999999994,1.5750000000000004,0.4649999999999999,0.16949999999999993,0.26999999999999996,197
1.05,1.8000000000000003,0.9949999999999999,0.9249999999999999,0.705,0.135,0.06299999999999992,270
1.375,2.425,0.61,1.425,0.22499999999999998,0.18749999999999997,0.02899999999999984,162
2.35,2.125,1.7500000000000004,0.11699999999999981,0.505,0.2984999999999999,0.45499999999999996,70
2.3,1.6750000000000003,2.2,0.765,0.24999999999999994,0.3225,0.12499999999999994,192
1.625,0.10199999999999995,0.705,1.45,1.1,0.6,0.07499999999999998,154
2.4,2.175,0.42499999999999993,0.33999999999999997,0.67,0.17549999999999982,0.32499999999999996,53
1.3499999999999999,2.5,1.15,0.1419999999999999,0.9949999999999999,0.08999999999999997,0.10099999999999988,48
0.13599999999999998,0.4199999999999999,1.25,0.7200000000000001,1.925,0.2609999999999999,0.002999999999999921,271
1.1,0.7900000000000001,2.3250000000000006,1.8999999999999997,0.44999999999999996,0.0855,0.11399999999999991,0
1.025,1.5999999999999999,2.075,0.198,1.55,0.7125,0.36499999999999994,46
1.45,0.635,2.3,2.275,0.23499999999999996,0.11099999999999995,0.39499999999999996,0
0.19299999999999992,2.425,0.7,0.665,1.625,0.24599999999999986,0.46,201
0.2899999999999999,0.041999999999999926,0.2899999999999999,0.5,2.375,0.11099999999999995,0.2899999999999999,148
1.175,0.05699999999999992,1.225,1.5750000000000004,1.025,0.5024999999999998,0.3350000000000001,172
1.15,0.735,1.2,0.26499999999999996,1.85,0.705,0.09999999999999994,83
1.95,0.895,0.86,1.475,0.4699999999999999,0.2774999999999999,0.09899999999999998,68
0.005999999999999936,1.375,0.6,0.9599999999999999,1.6999999999999995,0.2804999999999999,0.037999999999999895,490
0.7200000000000001,1.65,0.7600000000000001,0.535,1.3999999999999997,0.23249999999999998,0.28,405
0.6399999999999999,1.05,2.175,1.0,1.05,0.14699999999999996,0.42999999999999994,144
