decanoic acid_Concentration (mM),decanoate_Concentration (mM),decylamine_Concentration (mM),decyl trimethylamine_Concentration (mM),decylsulfate_Concentration (mM),decanol_Concentration (mM),monocaprin_Concentration (mM),num_vesicles
0.46,0.4199999999999999,0.9949999999999999,0.9599999999999999,0.945,0.29999999999999993,0.7949999999999999,0
0.8149999999999998,0.7200000000000001,0.865,0.8450000000000001,0.9249999999999999,0.1889999999999999,0.22499999999999998,0
0.855,0.39999999999999997,0.99,0.9300000000000002,0.835,0.24899999999999997,0.57,0
0.7200000000000001,0.555,0.5399999999999999,0.8,0.8749999999999999,0.11999999999999991,0.6849999999999999,0
0.785,0.04399999999999992,0.9,0.8749999999999999,0.78,0.055499999999999945,0.86,0
0.7150000000000001,1.0,0.565,0.9200000000000002,0.61,0.12449999999999999,0.9799999999999999,0
0.78,0.35999999999999993,0.895,0.87,0.865,0.345,0.9749999999999999,0
0.605,0.765,0.3350000000000001,0.865,0.97,0.26999999999999996,0.785,0
0.55,0.91,0.67,0.585,0.91,0.05399999999999991,0.8850000000000001,0
0.4699999999999999,0.33999999999999997,0.7900000000000001,0.9949999999999999,0.87,0.02849999999999989,0.42499999999999993,0
0.45499999999999996,0.7300000000000001,0.545,0.945,0.705,0.02549999999999995,0.9249999999999999,0
0.865,0.745,0.53,0.9050000000000001,0.9850000000000001,0.5174999999999998,0.6449999999999999,0
0.9500000000000001,0.7200000000000001,0.915,0.9949999999999999,0.505,0.04949999999999987,0.6949999999999998,0
0.99,0.6849999999999999,0.865,0.945,0.785,0.4575000000000001,0.7600000000000001,0
0.8050000000000002,0.7900000000000001,0.99,0.6849999999999999,0.87,0.08999999999999997,0.36499999999999994,0
0.535,0.5,0.955,0.9350000000000002,0.81,0.16799999999999987,0.7949999999999999,0
0.99,0.32,0.24,0.8850000000000001,0.81,0.06899999999999981,0.88,0
0.8050000000000002,0.25999999999999995,0.7150000000000001,0.83,0.9949999999999999,0.06899999999999981,0.25999999999999995,0
0.7300000000000001,0.24999999999999994,0.81,0.58,0.9500000000000001,0.06449999999999989,0.9350000000000002,0
0.7900000000000001,0.04399999999999992,0.955,0.945,0.88,0.0855,0.485,0
0.9850000000000001,0.8850000000000001,0.45499999999999996,0.8850000000000001,0.8,0.39,0.8149999999999998,0
0.6149999999999999,0.8500000000000001,0.39499999999999996,0.6449999999999999,0.9850000000000001,0.10349999999999995,0.7900000000000001,0
0.71,0.725,0.51,0.9350000000000002,0.65,0.02699999999999992,0.785,0
0.585,0.7600000000000001,0.485,0.8,0.8749999999999999,0.162,0.8749999999999999,0
0.765,0.46,0.38499999999999995,0.8850000000000001,0.8749999999999999,0.05399999999999991,0.5199999999999999,0
0.94,0.62,0.5199999999999999,0.6800000000000002,0.94,0.3149999999999999,0.94,0
0.53,0.8400000000000001,0.56,0.6849999999999999,0.945,0.04349999999999991,0.62,0
0.81,0.9850000000000001,0.7749999999999999,0.5399999999999999,0.9,0.21449999999999997,0.9200000000000002,0
0.7300000000000001,0.1369999999999999,0.42499999999999993,0.9200000000000002,0.8200000000000001,0.03449999999999982,0.86,0
0.755,0.07999999999999997,0.78,0.7949999999999999,0.87,0.06149999999999986,0.8,0
0.765,0.735,0.55,0.9850000000000001,0.97,0.6674999999999999,0.9249999999999999,0
0.49499999999999994,0.34999999999999987,0.9500000000000001,0.745,0.94,0.11549999999999995,0.8450000000000001,0
0.71,0.9249999999999999,0.71,0.9249999999999999,0.8749999999999999,0.2955,0.4449999999999999,0
0.4449999999999999,0.535,0.895,0.965,0.8850000000000001,0.29999999999999993,0.94,0
0.9350000000000002,0.9249999999999999,0.9799999999999999,0.9,0.8149999999999998,0.57,0.8,0
0.9300000000000002,0.9949999999999999,0.78,0.605,0.945,0.1964999999999998,0.39,0
0.83,0.855,0.705,0.48,0.895,0.008999999999999996,0.6900000000000001,0
0.91,0.735,0.53,0.9599999999999999,0.635,0.06899999999999981,0.6399999999999999,0
0.785,0.6949999999999998,0.26499999999999996,0.8749999999999999,0.91,0.22649999999999984,0.755,0
0.8149999999999998,0.8200000000000001,0.945,0.9350000000000002,0.66,0.30749999999999983,0.99,1
0.86,0.7900000000000001,0.9850000000000001,0.755,0.8050000000000002,0.345,0.91,0
0.9300000000000002,0.435,0.89,0.475,0.97,0.12599999999999995,0.88,0
0.8850000000000001,0.835,0.2749999999999999,0.97,0.765,0.08999999999999997,0.4449999999999999,0
0.485,0.865,0.19399999999999984,0.9249999999999999,0.9749999999999999,0.09299999999999999,0.505,0
0.88,0.9850000000000001,0.4149999999999999,0.66,0.8200000000000001,0.02699999999999992,0.575,0
0.7200000000000001,0.5,0.7949999999999999,0.9949999999999999,0.705,0.1574999999999999,0.78,0
0.9350000000000002,0.6800000000000002,0.6,0.9300000000000002,0.9300000000000002,0.5925,0.825,0
0.835,0.9200000000000002,0.635,0.785,0.855,0.0014999999999999079,0.10799999999999993,0
