decanoic acid (mM),decanoate (mM),decylamine (mM),decyl trimethylamine (mM),decylsulfate (mM),decanol (mM),monocaprin (mM),num_vesicles
0.5,0.4449999999999999,0.032999999999999904,1.3999999999999997,1.7500000000000004,0.3975,0.345,4
5.0,0.91,0.05999999999999992,0.0,1.125,0.11249999999999998,0.39999999999999997,0
3.6250000000000004,0.37499999999999994,0.57,0.6849999999999999,0.9200000000000002,0.0,0.28,1
0.435,0.99,0.023999999999999955,0.0,2.85,0.4725,0.5399999999999999,0
3.0,0.345,1.5999999999999999,2.675,0.485,0.765,0.205,0
0.86,0.565,0.83,1.2,0.865,0.44999999999999996,0.1479999999999999,1
1.225,0.45499999999999996,0.195,0.8749999999999999,1.55,1.1625,0.36999999999999994,2
1.05,0.24499999999999997,0.4199999999999999,1.65,0.8400000000000001,0.7725,0.285,0
0.6900000000000001,0.171,0.6,0.0,1.7500000000000004,1.5000000000000004,0.38499999999999995,0
1.625,0.0,2.525,0.12499999999999994,0.61,0.9375,0.26999999999999996,0
0.022999999999999972,0.8850000000000001,0.0,0.0,4.225000000000001,1.0875,0.57,0
1.5250000000000001,0.965,0.0,0.0,1.7500000000000004,0.6299999999999999,0.4449999999999999,0
1.225,1.1,0.6900000000000001,0.021999999999999905,1.55,0.66,0.22,0
3.725,0.475,1.05,0.99,1.025,0.9074999999999999,0.196,1
0.745,0.51,0.09299999999999999,0.0,2.8,0.8775,0.22,0
3.7750000000000004,0.56,0.198,0.0,0.9,0.825,0.07399999999999995,0
0.605,0.3149999999999999,0.0,0.008999999999999996,3.7500000000000004,0.27899999999999997,0.39499999999999996,0
1.05,1.25,0.38499999999999995,0.0,1.6750000000000003,0.0855,0.3149999999999999,0
0.71,0.0,0.4699999999999999,0.0,2.4,0.4425,0.555,1
0.03399999999999991,0.8400000000000001,0.89,0.0,2.525,0.57,0.42499999999999993,0
2.0000000000000004,0.07599999999999991,0.12799999999999995,1.125,0.705,0.26849999999999985,0.3099999999999999,0
2.425,0.0619999999999999,0.51,0.0,1.7750000000000008,0.87,0.32499999999999996,1
3.0,1.175,0.71,0.94,0.595,0.0,0.15499999999999992,2
4.700000000000001,0.10999999999999993,0.49,1.95,0.32499999999999996,0.49499999999999994,0.22999999999999995,0
3.125000000000001,0.34999999999999987,1.8749999999999998,0.9799999999999999,0.77,0.735,0.13599999999999998,6
1.3499999999999999,0.6949999999999998,0.545,0.05099999999999993,3.9000000000000004,0.78,0.2899999999999999,1
2.875,2.075,0.75,2.875,0.26499999999999996,0.6224999999999999,0.185,2
1.1,4.225000000000001,2.1,0.1369999999999999,0.5399999999999999,0.57,0.8400000000000001,2
3.4499999999999997,1.6999999999999995,0.66,1.5750000000000004,1.6999999999999995,0.735,0.3099999999999999,20
1.45,0.4699999999999999,0.51,4.3,1.3,0.5024999999999998,0.3350000000000001,0
1.65,2.2,4.8,1.65,0.42999999999999994,1.3125,0.25999999999999995,0
0.8,0.345,0.5249999999999999,0.04399999999999992,3.3249999999999997,1.125,0.505,2
3.0999999999999996,3.475000000000001,1.0,0.285,1.425,1.4775,0.58,2
1.5999999999999999,0.895,3.9000000000000004,0.2899999999999999,0.825,1.035,0.068,0
1.625,3.125000000000001,0.9,2.075,3.5000000000000004,0.14399999999999993,0.67,12
2.175,2.6250000000000004,2.35,0.53,2.75,0.7425000000000002,0.7,0
0.755,1.05,1.075,0.2949999999999999,2.1,0.3675,0.485,0
4.55,1.425,2.125,1.475,2.65,0.21449999999999997,0.1639999999999999,10
4.375,4.45,1.175,1.475,1.05,0.02549999999999995,0.092,2
0.9249999999999999,2.925,0.965,2.875,2.775,0.007499999999999904,0.018999999999999937,3
3.225,0.97,0.34999999999999987,0.865,0.7749999999999999,0.13049999999999978,0.2899999999999999,2
2.1499999999999995,1.1,4.8,2.85,4.525000000000002,0.3675,0.9500000000000001,10
1.15,2.475000000000001,3.8499999999999983,4.125000000000001,1.85,0.3525,0.002999999999999921,0
0.21,2.35,2.425,3.375,2.2250000000000005,0.6825,0.595,1
0.635,0.19999999999999996,0.475,0.25999999999999995,3.9749999999999996,1.4175000000000002,0.5399999999999999,1
2.675,0.10699999999999997,2.7250000000000005,0.0,3.5500000000000003,1.4025,0.33,0
0.405,1.075,3.7500000000000004,1.05,3.3,1.2,0.1989999999999999,4
2.9500000000000006,0.05399999999999991,4.825,0.2749999999999999,3.3500000000000005,0.4575000000000001,0.59,6
