decanoic acid_Concentration (mM),decanoate_Concentration (mM),decylamine_Concentration (mM),decyl trimethylamine_Concentration (mM),decylsulfate_Concentration (mM),decanol_Concentration (mM),monocaprin_Concentration (mM),num_vesicles
0.9799999999999999,0.36999999999999994,0.1409999999999999,0.8400000000000001,2.4,0.39,0.0619999999999999,28
1.925,1.225,1.3,0.7749999999999999,1.3999999999999997,0.6375,0.05099999999999993,4
2.4,0.146,0.08299999999999993,0.74,1.325,0.165,0.49,68
1.5250000000000001,0.9599999999999999,1.1,0.6449999999999999,1.25,0.2129999999999999,0.46,72
1.7500000000000004,1.65,0.013999999999999877,0.39499999999999996,2.25,0.5475,0.031999999999999904,29
1.45,2.375,0.188,1.475,0.895,0.51,0.26499999999999996,46
2.2,1.025,0.019999999999999987,0.475,1.6750000000000003,0.08399999999999982,0.1419999999999999,0
1.975,0.945,1.625,0.139,2.0000000000000004,0.3675,0.06499999999999996,2
1.975,0.575,0.4649999999999999,0.42999999999999994,1.6999999999999995,0.5925,0.44999999999999996,5
2.475000000000001,2.2,0.605,0.6399999999999999,0.75,0.06749999999999994,0.34999999999999987,2
0.555,1.225,0.785,2.1,0.8450000000000001,0.13049999999999978,0.45499999999999996,5
0.78,1.5750000000000004,0.71,1.5750000000000004,1.2,0.11849999999999995,0.11399999999999991,70
0.32499999999999996,0.745,0.6849999999999999,0.6900000000000001,2.375,0.405,0.46,25
1.7500000000000004,0.3099999999999999,0.1409999999999999,0.7,1.95,0.28950000000000004,0.12299999999999997,2
2.2250000000000005,1.375,0.22499999999999998,1.025,0.9200000000000002,0.33,0.355,24
0.705,0.675,0.2149999999999999,0.57,2.25,0.11999999999999991,0.39,540
0.835,1.1,2.2,0.7749999999999999,1.8250000000000002,0.4124999999999999,0.11099999999999995,56
1.6750000000000003,0.635,0.32,0.59,1.925,0.1139999999999998,0.03899999999999996,0
1.55,2.0000000000000004,0.08799999999999991,0.33,1.8999999999999997,0.12449999999999999,0.1889999999999999,30
1.975,0.53,0.9,1.05,0.9500000000000001,0.21899999999999978,0.39999999999999997,21
1.8999999999999997,0.005999999999999936,0.285,0.835,1.8000000000000003,0.12749999999999992,0.07499999999999998,3
1.7500000000000004,1.5750000000000004,0.38499999999999995,0.565,1.45,0.57,0.37999999999999995,132
1.7750000000000008,0.151,0.5,0.59,2.0000000000000004,0.7200000000000001,0.26999999999999996,26
2.425,0.09099999999999993,1.225,0.34999999999999987,1.8749999999999998,0.4425,0.12899999999999992,0
0.74,0.7150000000000001,0.10899999999999992,0.78,2.3,0.48,0.2949999999999999,670
1.025,0.0859999999999999,1.425,1.65,1.15,0.3525,0.37499999999999994,76
1.3,0.33,0.05699999999999992,1.3499999999999999,1.5750000000000004,0.4199999999999999,0.22499999999999998,134
0.56,0.26999999999999996,0.37999999999999995,1.375,1.7500000000000004,0.11999999999999991,0.24499999999999997,752
0.158,0.81,1.5750000000000004,1.7750000000000008,1.475,0.07649999999999993,0.25999999999999995,24
0.9050000000000001,0.505,1.325,2.0500000000000007,0.75,0.005999999999999936,0.37999999999999995,1
2.2250000000000005,1.5250000000000001,1.3999999999999997,0.67,0.895,0.585,0.4649999999999999,18
1.075,0.24999999999999994,1.15,0.5399999999999999,2.4,0.21449999999999997,0.007999999999999926,22
1.3,1.45,2.175,0.7300000000000001,1.375,0.2955,0.11799999999999998,27
1.725,1.5000000000000004,2.0500000000000007,2.425,0.24499999999999997,0.12449999999999999,0.24499999999999997,5
1.075,0.895,0.10699999999999997,1.45,1.6750000000000003,0.6825,0.08799999999999991,294
1.125,1.25,0.36999999999999994,0.6399999999999999,1.65,0.05699999999999981,0.2949999999999999,231
1.1,0.49,2.25,0.65,1.6750000000000003,0.2385,0.24499999999999997,3
1.475,1.375,0.7,0.24499999999999997,1.8999999999999997,0.04949999999999987,0.1779999999999999,5
0.8850000000000001,1.275,1.975,0.655,1.8749999999999998,0.6,0.19999999999999996,4
1.725,2.2,0.19099999999999992,1.375,1.0,0.42749999999999994,0.07499999999999998,116
0.8149999999999998,0.99,0.34999999999999987,2.4,0.8500000000000001,0.2429999999999998,0.29999999999999993,4
0.9749999999999999,0.4149999999999999,1.025,0.75,2.35,0.51,0.0,36
1.3,0.17699999999999994,0.39499999999999996,0.163,2.45,0.171,0.4699999999999999,19
0.03399999999999991,2.3,1.625,1.2,1.8250000000000002,0.11249999999999998,0.255,125
1.5999999999999999,2.375,1.6999999999999995,0.6949999999999998,1.05,0.345,0.21,70
1.075,2.25,0.021999999999999905,0.71,1.5250000000000001,0.3825,0.49499999999999994,313
0.015999999999999952,0.11199999999999985,0.61,1.8749999999999998,2.25,0.4124999999999999,0.15399999999999997,92
1.725,0.2149999999999999,0.5399999999999999,0.42999999999999994,2.1499999999999995,0.24449999999999994,0.12399999999999997,0
